Degree,Major,Skill1,Skill2,Certification,ExperienceYears,ProjectCount,Internship,ExperienceLevel,JobRole
MBA,Computer Science,SQL,Python,AI Specialist,13,3,No,Expert,Data Analyst
M.Tech,Electronics,Java,Java,Cybersecurity,7,5,Yes,Senior,Security Analyst
B.Tech,Electronics,Machine Learning,SQL,Data Analytics,8,4,Yes,Senior,ML Engineer
MCA,Data Science,Java,C++,AI Specialist,9,1,Yes,Senior,Data Analyst
M.Tech,Electronics,Data Analysis,C++,AI Specialist,10,9,Yes,Senior,Data Analyst
MBA,Computer Science,Deep Learning,Machine Learning,AI Specialist,12,1,No,Expert,ML Engineer
BCA,Computer Science,Python,Python,Data Analytics,11,8,No,Expert,Software Developer
B.Tech,Electronics,Deep Learning,SQL,Data Analytics,2,9,Yes,Junior,ML Engineer
BCA,Electronics,Machine Learning,Deep Learning,Data Analytics,9,1,No,Senior,ML Engineer
MCA,AI,SQL,Machine Learning,GCP,14,7,Yes,Expert,ML Engineer
M.Tech,IT,Java,Data Analysis,AI Specialist,6,7,Yes,Senior,Software Developer
M.Tech,Data Science,Python,Deep Learning,GCP,6,0,Yes,Senior,Data Scientist
MBA,Computer Science,Data Analysis,Machine Learning,Azure,0,0,Yes,Fresher,ML Engineer
M.Tech,Data Science,Deep Learning,Python,Data Analytics,7,3,No,Senior,Data Scientist
B.Tech,AI,Data Analysis,SQL,None,14,1,Yes,Expert,Data Analyst
MCA,Computer Science,Machine Learning,Python,Cybersecurity,3,0,Yes,Mid,ML Engineer
BCA,AI,Deep Learning,C++,AWS,4,8,Yes,Mid,ML Engineer
MCA,AI,Java,Deep Learning,Azure,13,2,Yes,Expert,ML Engineer
M.Tech,Business,Java,Java,None,5,0,Yes,Mid,Business Analyst
BCA,Electronics,Data Analysis,Cloud,AWS,2,1,Yes,Junior,Data Analyst
MBA,Business,SQL,Data Analysis,AWS,4,7,No,Mid,Data Analyst
MCA,Data Science,Python,C++,Data Analytics,9,4,No,Senior,Data Scientist
BCA,Data Science,C++,C++,Cybersecurity,4,6,Yes,Mid,Security Analyst
BCA,Electronics,Deep Learning,Deep Learning,AWS,0,5,No,Fresher,ML Engineer
BCA,Business,Java,Data Analysis,AI Specialist,2,0,Yes,Junior,Data Analyst
B.Tech,Data Science,Machine Learning,Machine Learning,None,2,5,Yes,Junior,ML Engineer
MCA,Business,Deep Learning,C++,AWS,0,6,Yes,Fresher,ML Engineer
BCA,Electronics,SQL,Cloud,Azure,12,3,Yes,Expert,Data Analyst
MCA,Computer Science,SQL,SQL,Cybersecurity,6,7,No,Senior,Data Analyst
BCA,AI,Java,C++,Cybersecurity,0,7,Yes,Fresher,Security Analyst
MBA,AI,Java,SQL,AWS,6,6,No,Senior,Data Analyst
MBA,Business,Data Analysis,Python,Cybersecurity,3,1,Yes,Mid,Data Analyst
